Kenteken,Voertuigsoort,Merk,Handelsbenaming,Bruto BPM,Cilinderinhoud,Massa ledig voertuig,Toegestane maximum massa voertuig,Catalogusprijs,WAM verzekerd
04LFL8,Personenauto,OPEL,MERIVA-A,4299,1598,1275,1855,21388,Ja
75GKJ1,Personenauto,OPEL,ASTRA TWIN TOP,9162,1796,1403,1895,37926,Ja
63SGLD,Personenauto,KIA,PICANTO,1364,999,836,1350,9008,Ja
61XZN1,Personenauto,LEXUS,LEXUS CT200H,,1798,1385,1845,33900,Ja
77JBH8,Personenauto,BMW,3ER REIHE,10306,2497,1475,2040,,Ja
59ZJNS,Personenauto,TOYOTA,TOYOTA YARIS,3337,1298,995,1480,16782,Ja
66NVJH,Personenauto,MITSUBISHI,MITSUBISHI OUTLANDER,8961,2378,1535,2070,,Ja
86TZRX,Personenauto,VOLVO,V70,11497,2401,1552,2180,,Ja
RN129N,Personenauto,VOLVO,V60,6123,1969,1474,2170,42605,Ja
H918PR,Personenauto,KIA,RIO,4826,998,1055,1600,20685,Ja
47PDLS,Personenauto,SUZUKI,ALTO,621,1061,775,1165,,Ja
11TNT3,Personenauto,CHEVROLET,CRUZE,4824,1598,1280,1818,18090,Ja
TP998F,Personenauto,BMW,520D XDRIVE,8486,1995,1710,2465,76586,Ja
28TBBS,Personenauto,BMW,3ER REIHE,8766,1995,1453,1970,35899,Ja
86NPP7,Personenauto,RENAULT,MEGANE SCENIC,5975,1397,1395,2080,29035,Ja
37JVV8,Personenauto,SKODA,OCTAVIA,4831,1390,1225,1925,25119,Ja
06PHBL,Personenauto,TOYOTA,TOYOTA AVENSIS,9245,2362,1375,1905,,Ja
56GPJ4,Personenauto,TOYOTA,TOYOTA AYGO,295,998,775,1180,9120,Ja
7ZGK75,Personenauto,SUZUKI,ALTO,630,996,830,1250,9799,Ja
G258HK,Personenauto,FORD,FOCUS,7575,1496,1345,1980,35574,Ja
TP157Z,Personenauto,VOLKSWAGEN,GOLF,3189,999,1145,1760,27465,Ja
07SNR8,Personenauto,FORD,C-MAX,6317,1560,1290,1915,32235,Ja
73LNZJ,Personenauto,SAAB,SAAB 9-3,7775,1998,1435,1990,,Ja
30KZX3,Personenauto,TOYOTA,TOYOTA AYGO,,998,780,1190,9790,Ja
42RTFG,Personenauto,MITSUBISHI,MITSUBISHI OUTLANDER,5820,1997,1415,1970,,Ja
XT892J,Personenauto,TOYOTA,TOYOTA COROLLA,1582,1987,1345,1955,41855,Ja
82RXG3,Personenauto,PEUGEOT,508,6395,1560,1405,2100,34300,Ja
64XZRP,Personenauto,TOYOTA,TOYOTA YARIS,2974,1298,985,1480,14860,Ja
29HVT5,Personenauto,NISSAN,NISSAN NOTE,3755,1386,1067,1546,,Ja
27LHDZ,Personenauto,VOLVO,V70,13630,2401,1575,2180,,Ja
80HPD4,Personenauto,OPEL,AGILA,3226,1242,1015,1485,16714,Ja
46SZGV,Personenauto,OPEL,ZAFIRA,6831,1796,1403,2095,,Ja
61ZNDJ,Personenauto,RENAULT,TWINGO,820,1149,900,1345,,Ja
80RBR4,Personenauto,FORD,FIESTA,1953,1242,954,1495,12895,Ja
13NGD6,Personenauto,HONDA,JAZZ,2641,1198,1022,1520,17489,Ja
G584NR,Personenauto,HYUNDAI,KONA,2728,1580,1351,1880,33782,Ja
KF341V,Personenauto,BMW,1ER REIHE,5756,1596,1220,1745,,Ja
PL959X,Personenauto,FIAT,500E,,,1330,1701,35370,Ja
98SFBB,Personenauto,FORD,FIESTA,4011,1388,1001,1530,,Ja
K594RS,Personenauto,TOYOTA,TOYOTA RAV4,2702,2487,1565,2135,47327,Ja
TN587L,Personenauto,NISSAN,NISSAN MICRA,2216,898,953,1530,19291,Ja
L898GV,Personenauto,AUDI,Q5 55 TFSI E,1803,1984,2005,2620,97427,Ja
K204RJ,Personenauto,SKODA,FABIA,3146,999,1036,1591,21230,Ja
26JRDX,Personenauto,FORD,FOCUS,3589,1388,1076,1630,,Ja
JK079N,Personenauto,VOLVO,XC90 T8 TWIN ENGINE,469,1969,2187,3010,84510,Ja
94RSX8,Personenauto,HYUNDAI,I 10,,1086,880,1405,9900,Ja
65THJB,Personenauto,PEUGEOT,207,4166,1587,1188,1670,19189,Ja
G641RT,Personenauto,OPEL,CROSSLAND X,4300,1199,1180,1835,30549,Ja
JK45DK,Personenauto,VOLKSWAGEN,GOLF,,1781,791,,,Ja
43XLPD,Personenauto,AUDI,AUDI A4,10412,1781,1425,2000,,Ja
02RPNX,Personenauto,VOLKSWAGEN,TOURAN,6087,1595,1402,2090,,Ja
03XRLR,Personenauto,HYUNDAI,TUCSON,6119,1975,1437,2050,25930,Ja
RD484D,Personenauto,FORD,FOCUS,2656,999,1176,1900,22361,Ja
KH529H,Personenauto,RENAULT,KANGOO,3808,1598,1312,1923,,Ja
TG505F,Personenauto,NISSAN,NISSAN MICRA,2216,898,953,1530,19891,Ja
1SGN69,Personenauto,VOLKSWAGEN,TOURAN,9615,1968,1503,2200,40491,Ja
51NNP2,Personenauto,VOLVO,V50,6543,1560,1280,1900,32244,Ja
1SRS60,Personenauto,FORD,C-MAX,2750,998,1291,1900,28095,Ja
XFLP57,Personenauto,OPEL,ASTRA-G-CC,3118,1598,1055,1625,,Ja
1XJN58,Personenauto,OPEL,CORSA,3045,1398,1063,1640,16884,Ja
69RXF2,Personenauto,SEAT,ALTEA XL,3581,1197,1295,1939,22770,Ja
